rb    omega	Omega	   i	    e	      a
----------------------------------------------------
1      46.6     221.3      20.8     0.465     0.784
2     117.7      67.5      13.8     0.351     0.972
3     349.8     257.4       5.2     0.345     0.812
4     206.2      51.5      30.4     0.286     0.845
5     117.7      30.2      27.8     0.275     0.972
6      82.4      86.7      14.6     0.547     0.937
7     211.5      22.7       1.1     0.030     0.980
8     313.3     207.9       6.0     0.711     0.910
9     348.9     186.1      12.6     0.434     0.854
10     218.6      13.0      21.1     0.515     0.894
11      57.2     185.7       2.2     0.280     0.926
12     183.7     352.4      23.7     0.356     0.935
13     223.7     296.3       4.9     0.243     0.952
14      48.9     106.3      27.7     0.524     0.904
15     185.8     242.9      16.8     0.602     0.649
16     216.5     233.8       4.8     0.364     0.844
17      32.3      52.2       1.6     0.282     0.874
18     201.4     223.3       4.0     0.243     0.918
19     314.2     117.6       5.5     0.680     0.938
20     350.4      47.4       8.2     0.227     0.913
21     118.5     202.5      18.6     0.188     0.971
22     319.2      24.5       8.5     0.258     0.869
23     193.1     201.9       7.7     0.419     0.790
24      37.5      10.8      49.3     0.519     0.782
25     335.0      38.8      20.1     0.527     0.896
26     344.9      18.7      15.3     0.199     0.863
27     178.1     183.7      15.8     0.546     0.832
28      20.8      13.5       6.2     0.294     0.814
29     246.4     183.2       5.1     0.352     0.980
30     330.5     359.7      13.1     0.221     0.923
31     165.0     169.4      12.4     0.249     0.839
32     295.6     355.9      10.5     0.164     0.949
33     169.6     160.3       3.4     0.307     0.828
34      43.9     334.9      10.7     0.277     0.912
35     350.0       4.8      10.4     0.180     0.927
36      35.9     333.3       3.0     0.658     0.731
37     355.3     346.3      30.5     0.228     0.982
38     218.9     153.3       3.0     0.274     0.856
39     178.2     155.4       8.7     0.165     0.897
40     152.7     159.6      25.1     0.275     0.840
41     350.5      35.2      10.6     0.050     0.957
42     199.0     153.1      26.5     0.613     0.809
43     245.7     131.3       2.9     0.372     0.975
44     359.1     326.2       6.7     0.436     0.700
45     289.7      17.3       0.2     0.144     0.886
46     176.7     134.0       4.2     0.325     0.875
47      26.8     324.9       0.3     0.241     0.847
48     159.9     148.1       9.4     0.870     0.911
49     335.3     315.3       5.2     0.206     0.837
50       1.2     281.0       0.4     0.098     0.950
51      72.0     216.9      10.2     0.277     0.874
52     291.2      57.8       0.7     0.337     0.967
53      59.7     283.0       5.0     0.111     0.941
54     307.8     284.8      23.3     0.498     0.987
55     138.2     105.7       7.3     0.183     0.967
56     290.6     275.5      17.1     0.200     0.969
57     203.9      94.1      24.1     0.440     0.733
58     334.4     279.1       4.5     0.283     0.903
59     234.7      69.1       0.9     0.517     0.841
60     104.9     177.6       1.1     0.450     0.876
61     157.5      94.6       8.4     0.417     0.735
62     202.5      96.3      29.9     0.534     0.618
63     239.5      66.2       4.6     0.373     0.907
64     169.4      66.6       4.5     0.060     0.945
65     140.9      77.3       6.0     0.112     0.952
66     339.8     260.9       2.8     0.186     0.960
67     222.2      63.6       1.8     0.258     0.877
68     232.6      61.0       4.6     0.314     0.930
69     144.2      57.7       7.6     0.346     0.815
70      33.3     242.5      21.2     0.164     0.965
71       8.3     233.4      26.9     0.284     0.779
72     155.5      57.3       3.8     0.238     0.845
73     310.2     224.1      19.2     0.182     0.919
74     195.5      39.3       8.7     0.534     0.718
75     200.6      27.7       0.4     0.197     0.862
76     128.5      40.0       5.1     0.331     0.923
77     210.4      40.0       0.5     0.150     0.897
78     331.5     219.5      13.2     0.317     0.796
79      36.4     203.5       4.9     0.219     0.866
80      74.4     130.6       0.4     0.095     0.945
81     176.6      21.7       4.8     0.069     0.939
82      15.6     213.2      12.5     0.643     0.968
83     305.0     198.1       1.2     0.127     0.949
84     208.2      15.5      13.0     0.129     0.941
85      36.4     182.1       5.5     0.198     0.909
86     335.6     183.5      11.3     0.166     0.921
87     184.1     351.1       9.4     0.219     0.838
88     236.7     319.6       6.9     0.496     0.884
89     359.5     169.7      14.1     0.203     0.923
90     236.8     340.7       7.1     0.325     0.969
91     319.8     166.2       5.1     0.388     0.831
92     131.0     324.5      14.2     0.212     0.888
93       6.8     123.1      22.3     0.377     0.843
94     195.6     306.6      12.5     0.675     0.682
95     282.5     212.4      23.4     0.325     0.951
96     250.8     268.2      11.7     0.369     0.996
97     358.5     128.3      11.2     0.540     0.968
98     299.9     167.2      24.7     0.333     0.849
99     318.5     105.1      16.1     0.151     0.972
100     350.0      98.9       9.0     0.269     0.930
101      32.3      93.1      22.6     0.487     0.855
102     340.0      98.3      18.3     0.132     0.993
103      19.2      87.8      11.7     0.156     0.948
104      32.1      87.5      14.1     0.348     0.844
105     328.6     134.3      13.3     0.273     0.865
106     296.7      65.5      13.9     0.255     0.958
107      62.2      46.6      21.5     0.171     0.990
108     295.5      96.7       2.2     0.618     0.778
109     242.1     120.7      17.1     0.443     0.907
110     311.4      95.2      36.2     0.546     0.919
111      43.6      49.8       2.3     0.055     0.982
112     316.3      36.9       0.7     0.145     0.959
113      40.9      43.6      20.7     0.193     0.929
114     353.0      51.6       3.4     0.301     0.800
115     185.7     251.3       2.2     0.196     0.960
116      97.9     295.2      44.0     0.660     0.959
117      82.8     348.2       0.6     0.443     0.923
118      13.7      25.4       7.7     0.481     0.765
119     233.8     198.7       3.6     0.203     0.930
120      25.5      21.5      30.0     0.389     0.913
121     188.0     195.2      35.4     0.245     0.883
122     212.6     176.1      13.7     0.514     0.968
123     335.1     357.2       4.3     0.147     0.895
124     206.3     169.7       9.1     0.318     0.780
125     126.0     161.5       0.1     0.211     0.990
126     202.3     175.4       7.7     0.270     0.818
127     166.1     173.5      12.7     0.097     0.940
128     186.3     168.7       9.7     0.226     0.844
129      42.6       4.0       9.7     0.109     0.956
130     103.7     286.8      24.9     0.213     0.955
131      46.5     324.8      25.6     0.461     0.984
132     278.6     328.6       2.3     0.150     0.987
133     104.3     176.1      19.7     0.657     0.888
134      72.6     278.1       6.0     0.447     0.903
135      28.9     279.9      10.0     0.278     0.820
136      37.1     310.1      11.1     0.248     0.952
137     350.6     303.6       7.6     0.302     0.812
138     242.8     105.3      23.6     0.298     0.962
139     127.8      86.9       0.7     0.110     0.942
140     202.5      86.0      10.0     0.427     0.817
141     193.2      87.6       1.5     0.121     0.936
142     152.9      82.1       8.2     0.534     0.856
143     198.3      45.7       9.2     0.156     0.901
144     347.7     242.6      38.4     0.253     0.825
145      10.5     263.3       9.8     0.192     0.856
146     126.6      61.2      26.8     0.224     0.996
147     211.0      61.4       3.0     0.295     0.818
148     347.1     243.9      19.4     0.231     0.912
149      31.3     238.3      31.7     0.481     0.867
150     220.6      58.7      12.8     0.358     0.848
151     172.3      64.1       4.0     0.607     0.650
152     227.3      55.7       5.8     0.409     0.867
153     315.6     226.5       5.3     0.280     0.971
154      45.2     218.5       3.8     0.188     0.924
155     328.9     212.4      10.0     0.672     0.891
156      30.6     202.1      42.1     0.316     0.819
157     345.7     215.3       6.6     0.365     0.774
158     334.2     193.8       9.2     0.610     0.967
159     201.9      14.0       4.9     0.374     0.789
160     185.4      22.4      24.7     0.347     0.760
161     222.2      29.3      21.2     0.340     0.929
162     146.7      20.6       5.1     0.243     0.885
163     139.0       0.8       9.7     0.368     0.981
164     147.5     338.1      21.3     0.214     0.815
165     172.6       0.5      12.6     0.112     0.945
166     101.3       6.7       6.8     0.094     0.993
167     161.9     350.5       9.4     0.200     0.908
168     196.0     325.7      26.6     0.294     0.944
169      48.4     134.4       7.0     0.340     0.996
170     207.5     274.1      31.5     0.501     0.923
171      23.6      87.6      21.0     0.299     0.913
172     254.0     244.8       9.8     0.151     0.989
173     191.2     240.0      10.7     0.239     0.844
174     239.7     203.5      19.6     0.478     0.888
175     220.1     229.2       1.6     0.265     0.997
176     213.5     213.0       6.6     0.644     0.830
177     316.9      32.5       5.4     0.368     0.908
178      15.8       6.7      31.7     0.113     0.965
179     323.7       0.2      12.3     0.320     0.883
180     315.1      57.8      13.9     0.282     0.837
181     124.6     174.6      26.1     0.466     0.980
182     129.8     175.2      27.7     0.356     0.927
183      34.9     329.7       8.8     0.276     0.873
184     118.2     278.7      18.7     0.091     0.933
185     190.5     127.8       8.1     0.190     0.895
186     334.3     305.0      22.9     0.266     0.898
187     292.4      17.5       5.6     0.265     0.935
188     207.7     130.7      26.2     0.450     0.836
189     121.1     149.3       1.8     0.558     0.936
190     300.0     296.2       6.5     0.279     0.946
191     220.9     117.1      23.2     0.476     0.814
192     131.5     166.2      28.9     0.487     0.813
193     140.1      93.9       3.2     0.433     0.858
194     148.3      58.0      18.5     0.358     0.884
195     146.3      81.4       8.5     0.320     0.780
196       8.3     234.0      13.5     0.205     0.846
197     235.4      37.1       4.2     0.388     0.922
198     301.6     220.2      12.4     0.348     0.989
199       3.2     234.4      26.2     0.326     0.906
200     253.4      22.1       3.2     0.269     0.990
201     183.6      81.2      24.3     0.380     0.695
202     158.1      37.6      21.7     0.681     0.818
203     324.2     212.7      10.6     0.554     0.780
204     295.2     196.6      16.0     0.359     0.990
205     127.5       9.8       1.5     0.397     0.953
206     139.4      10.2      21.1     0.519     0.957
207     144.4     357.9       5.1     0.338     0.896
208     209.1       2.6      23.4     0.407     0.883
209     291.1     189.5       1.9     0.126     0.964
210     135.0       5.1      21.1     0.479     0.928
211       7.4     114.2       8.2     0.449     0.909
212     241.2     303.6      14.1     0.248     0.869
213      75.4      19.0       3.3     0.510     0.943
214     295.8     177.6      21.8     0.199     0.923
215      52.9     104.8       9.9     0.302     0.962
216     108.6     352.7       5.7     0.820     0.783
217     249.0     249.4       5.8     0.276     0.979
218     337.0      86.2       3.1     0.229     0.854
219     201.4     250.9       6.5     0.155     0.892
220     347.5      67.1       5.1     0.412     0.850
221     152.8     246.1      25.4     0.157     0.974
222     316.8      39.2       7.0     0.093     0.984
223     220.7     198.9       6.9     0.202     0.894
224     187.4     196.9      28.8     0.375     0.855
225     324.8      10.0      11.1     0.126     0.923
226     199.0     175.5      19.8     0.760     0.745
227     181.8     101.0      28.3     0.305     0.616
228     145.6     225.7       1.8     0.671     0.957
229     105.8     246.4       5.1     0.627     0.626
230     234.8      93.4       7.4     0.084     0.958
231      20.1     321.3      44.8     0.072     0.945
232      21.4     348.2      15.8     0.259     0.843
233     355.5     327.5      26.8     0.739     0.943
234       0.5     342.6      19.0     0.226     0.821
235      28.6     338.1      41.9     0.196     0.876
236      42.3     341.3       3.2     0.123     0.929
237     166.4     125.7      10.2     0.501     0.955
238     248.1      86.0      20.4     0.587     0.663
239     114.3     150.7      24.5     0.380     0.852
240     188.0     144.7       6.5     0.320     0.853
241      54.1     322.9      10.6     0.253     0.969
242     349.7     321.3      15.9     0.319     0.767
243     124.1     137.3       0.6     0.451     0.912
244       7.2     331.6       7.2     0.348     0.771
245       4.7     344.1      30.0     0.137     0.961
246     155.3     139.9      29.2     0.650     0.829
247     350.4     337.0       3.1     0.341     0.857
248      63.7     274.7       6.2     0.284     0.942
249      34.9     277.3       1.7     0.120     0.953
250      64.7     255.7       7.7     0.271     0.987
251      66.2     236.7       8.5     0.210     0.973
252     204.1      55.5       6.5     0.428     0.794
253      91.2     114.8      43.3     0.729     0.965
254     155.1      43.2       7.2     0.225     0.882
255     161.6      42.1       6.0     0.431     0.773
256      42.8     223.2      16.7     0.386     0.899
257     163.5      39.3       7.1     0.219     0.901
258     318.7     225.6      10.1     0.098     0.966
259     194.6      62.4       9.3     0.359     0.936
260      34.7     220.3       1.2     0.091     0.976
261     179.9      53.8      13.1     0.150     0.972
262      70.7     217.8      30.9     0.187     0.987
263      44.6     211.2       8.8     0.515     0.906
264     236.2      31.4       9.6     0.094     0.968
265      25.2     156.5       0.6     0.399     0.773
266     273.5     337.9       1.0     0.175     0.951
267     146.6      26.0       8.2     0.121     0.907
268     202.7      24.4      12.0     0.573     0.957
