t,x,y,z
==========================
0,-9.2762,1.436,0.34419
20,-9.2986,1.325,0.34769
40,-9.3198,1.2137,0.34956
60,-9.3396,1.1021,0.35306
80,-9.3589,0.99192,0.35497
100,-9.376,0.87969,0.35848
120,-9.3917,0.76884,0.36035
140,-9.406,0.65773,0.36387
160,-9.4191,0.5464,0.36575
180,-9.4309,0.4332,0.36763
200,-9.4412,0.32145,0.37116
220,-9.4503,0.20951,0.37305
240,-9.4591,0.099059,0.37497
260,-9.4655,-0.013216,0.37686
280,-9.4706,-0.12563,0.37876
300,-9.4743,-0.23817,0.3823
320,-9.4768,-0.34915,0.3842
340,-9.478,-0.46023,0.3861
360,-9.4788,-0.5731,0.38804
380,-9.4773,-0.68433,0.38995
400,-9.4746,-0.7956,0.39185
420,-9.4705,-0.9069,0.39376
440,-9.4652,-1.0182,0.39401
460,-9.4586,-1.1295,0.39592
480,-9.4516,-1.241,0.39787
500,-9.4423,-1.3522,0.39979
520,-9.4319,-1.4618,0.4017
540,-9.4201,-1.573,0.40196
560,-9.4069,-1.6841,0.40388
580,-9.3927,-1.7935,0.4058
600,-9.3773,-1.9027,0.40605
620,-9.3602,-2.0135,0.40798
640,-9.3422,-2.1225,0.40823
660,-9.3229,-2.2314,0.41016
680,-9.3024,-2.3401,0.41042
700,-9.2806,-2.4486,0.41235
720,-9.258,-2.5553,0.41261
740,-9.2336,-2.6634,0.41454
760,-9.2081,-2.7713,0.4148
780,-9.1818,-2.8774,0.41506
800,-9.1536,-2.9848,0.417
820,-9.1249,-3.0904,0.41726
840,-9.0943,-3.1973,0.41752
860,-9.0631,-3.3023,0.41778
880,-9.0306,-3.407,0.41804
900,-8.9969,-3.5114,0.41998
920,-8.9611,-3.6151,0.4202
940,-8.9251,-3.7188,0.42046
960,-8.8878,-3.8222,0.42072
980,-8.8494,-3.9252,0.42098
1000,-8.8088,-4.0274,0.4212
1020,-8.7687,-4.1281,0.42146
1040,-8.7267,-4.2299,0.42172
1060,-8.6835,-4.3294,0.42024
1080,-8.6391,-4.4304,0.4205
1100,-8.5935,-4.5289,0.42072
1120,-8.5477,-4.6275,0.42098
1140,-8.499,-4.7266,0.4212
1160,-8.4509,-4.8242,0.41976
1180,-8.4008,-4.9209,0.41997
1200,-8.3505,-5.0175,0.42023
1220,-8.2982,-5.1131,0.41875
1240,-8.2457,-5.2067,0.41896
1260,-8.1921,-5.3018,0.41752
1280,-8.1366,-5.3957,0.41773
1300,-8.08,-5.4891,0.41624
1320,-8.0233,-5.5805,0.41645
1340,-7.9654,-5.6732,0.415
1360,-7.9065,-5.7634,0.41521
1380,-7.8467,-5.853,0.41371
1400,-7.7849,-5.9434,0.41393
1420,-7.723,-6.0317,0.41243
1440,-7.6602,-6.1194,0.41093
1460,-7.5964,-6.2065,0.40942
1480,-7.5315,-6.2929,0.40963
1500,-7.465,-6.3779,0.40808
1520,-7.3982,-6.463,0.40658
1540,-7.3305,-6.5473,0.40507
1560,-7.2618,-6.6309,0.40356
1580,-7.1913,-6.7131,0.40372
1600,-7.1219,-6.794,0.40221
1620,-7.0504,-6.8754,0.4007
1640,-6.9785,-6.9542,0.39914
1660,-6.9052,-7.0341,0.39762
1680,-6.8315,-7.1114,0.39606
1700,-6.7556,-7.189,0.3945
1720,-6.6809,-7.2654,0.39298
1740,-6.6046,-7.3404,0.38969
1760,-6.5262,-7.4156,0.38812
1780,-6.4489,-7.4896,0.38659
1800,-6.3701,-7.5621,0.38502
1820,-6.2905,-7.6337,0.38345
1840,-6.2101,-7.7045,0.38015
1860,-6.1289,-7.7745,0.37858
1880,-6.0469,-7.8435,0.377
1900,-5.9641,-7.9118,0.37543
1920,-5.882,-7.9781,0.37212
1940,-5.7971,-8.0438,0.3705
1960,-5.7121,-8.1094,0.36892
1980,-5.6263,-8.1741,0.3656
2000,-5.5407,-8.2361,0.36398
2020,-5.4535,-8.299,0.36066
2040,-5.367,-8.36,0.35907
2060,-5.2779,-8.4202,0.35571
2080,-5.1896,-8.4786,0.35409
2100,-5.0996,-8.5378,0.35076
2120,-5.01,-8.5942,0.34913
2140,-4.9197,-8.6498,0.34576
2160,-4.8293,-8.7052,0.34416
2180,-4.7363,-8.7597,0.34079
2200,-4.6443,-8.8124,0.33741
2220,-4.5516,-8.864,0.33577
2240,-4.4584,-8.9148,0.3324
2260,-4.3646,-8.9645,0.32902
2280,-4.2702,-9.0133,0.32563
2300,-4.1749,-9.0601,0.32396
2320,-4.0794,-9.1069,0.32057
2340,-3.9835,-9.1527,0.31718
2360,-3.8866,-9.1965,0.31376
2380,-3.7897,-9.2402,0.31211
2400,-3.6919,-9.282,0.30869
2420,-3.594,-9.3236,0.30529
2440,-3.4969,-9.3627,0.30187
2460,-3.398,-9.4024,0.29847
2480,-3.2984,-9.44,0.29504
2500,-3.2001,-9.476,0.2916
2520,-3.0997,-9.5115,0.28817
2540,-2.9989,-9.546,0.28473
2560,-2.8993,-9.5789,0.2813
2580,-2.7978,-9.6112,0.27786
2600,-2.6975,-9.642,0.27442
2620,-2.5953,-9.6722,0.27098
2640,-2.4927,-9.7013,0.26754
2660,-2.3912,-9.7279,0.26407
2680,-2.2897,-9.7545,0.26062
2700,-2.1862,-9.7803,0.25718
2720,-2.0839,-9.8038,0.2537
2740,-1.9798,-9.8274,0.25025
2760,-1.877,-9.8487,0.24503
2780,-1.7739,-9.8689,0.24155
2800,-1.6691,-9.8893,0.2381
2820,-1.5656,-9.9073,0.23462
2840,-1.4619,-9.9242,0.23115
2860,-1.3564,-9.9403,0.22592
2880,-1.2523,-9.9551,0.22244
2900,-1.1481,-9.9687,0.21896
2920,-1.042,-9.9814,0.21547
2940,-0.93757,-9.9929,0.21024
2960,-0.83288,-10.002,0.20674
2980,-0.72817,-10.011,0.20325
3000,-0.62161,-10.02,0.19802
3020,-0.51666,-10.026,0.19451
3040,-0.41169,-10.032,0.19103
3060,-0.30662,-10.036,0.18577
3080,-0.20153,-10.039,0.18228
3100,-0.094637,-10.041,0.17878
3120,0.010515,-10.041,0.17352
